track_id,duration,name,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,album_release_date,artist_id,artist_name
1B7tV3WzEnDUS7wXSKDXk3,239693,Gravity,50,0.537,0.88,-5.486,0.0334,0.00515,0.0,0.22,0.581,93.052,6nspDUDiUWuGGL4M5g62Xp,Jet Age,2000,7o9kdTx6RmO12iAVVsNehd,The Superjesus
6U8koDtkewQRZPl4X3xQxs,313226,Down Again,40,0.271,0.833,-6.999,0.042,1.57e-05,0.00275,0.257,0.305,190.779,5NXfQ3oIhEbkafEm7WoJBk,Sumo,1998,7o9kdTx6RmO12iAVVsNehd,The Superjesus
29bqMdlCPKCxdj4Yb2Yyce,247626,Now and Then,32,0.32,0.631,-5.727,0.029,0.148,0.000219,0.125,0.365,172.698,5NXfQ3oIhEbkafEm7WoJBk,Sumo,1998,7o9kdTx6RmO12iAVVsNehd,The Superjesus
6InQ5MLLfoVgY156lOPnIo,284693,Secret Agent Man,31,0.179,0.861,-5.448,0.0402,1.12e-05,0.000148,0.1,0.349,172.004,6nspDUDiUWuGGL4M5g62Xp,Jet Age,2000,7o9kdTx6RmO12iAVVsNehd,The Superjesus
54YB5bXANZxDl1wKkMgACg,230275,Shut My Eyes,27,0.396,0.774,-6.471,0.0303,0.000227,0.0,0.0916,0.545,89.057,6QnWXOMaS1u2HeM0bZtmeM,Rock Music (Deluxe Edition),2002-01-01,7o9kdTx6RmO12iAVVsNehd,The Superjesus
1z9avEqOLYsjuK9YtJ5kfm,244400,Saturation,24,0.415,0.914,-5.949,0.0492,6.41e-05,0.00133,0.274,0.253,136.646,5NXfQ3oIhEbkafEm7WoJBk,Sumo,1998,7o9kdTx6RmO12iAVVsNehd,The Superjesus
3fgkN3Svw6P8wwVWOOSB2A,193266,Enough to Know,23,0.501,0.899,-6.405,0.0317,7.63e-05,3.67e-06,0.337,0.776,156.048,6nspDUDiUWuGGL4M5g62Xp,Jet Age,2000,7o9kdTx6RmO12iAVVsNehd,The Superjesus
6g3bD7ML47HgXAs8ybQ5xr,289800,Second Sun,21,0.433,0.644,-7.977,0.0278,0.00233,1.37e-06,0.337,0.378,175.905,6nspDUDiUWuGGL4M5g62Xp,Jet Age,2000,7o9kdTx6RmO12iAVVsNehd,The Superjesus
16mWlsXLr62HYQezYzIac9,211338,Money (We're Only In It For Love),21,0.501,0.995,-2.928,0.117,0.000631,3.41e-06,0.242,0.364,135.005,51Y3HATbZzhYkCMo9XYZ7M,Money (We're Only In It For Love),2023-01-13,7o9kdTx6RmO12iAVVsNehd,The Superjesus
1rZQR0vS4h2WZJJsYFT6Cw,287333,I'm Stained,18,0.303,0.717,-5.982,0.0309,0.00779,0.042,0.178,0.295,144.411,5NXfQ3oIhEbkafEm7WoJBk,Sumo,1998,7o9kdTx6RmO12iAVVsNehd,The Superjesus
6la7PPEI33NdSrVx5cK9TM,216333,Who Can I Run To,43,0.71,0.545,-9.599,0.0588,0.483,0.0,0.0644,0.632,140.233,5exCd91MEuqXuNwzG8nHMC,Off The Hook,1995-07-13,5z2cHsOmmmWcAPNG1oEhw0,Xscape
2CG9mGkKC6IQE5lEjDioEi,204173,Just Kickin' It,58,0.692,0.353,-12.872,0.0613,0.0571,2.26e-05,0.579,0.73,80.902,6JtogZdgh6aCgfMjCi40FN,Hummin' Comin' At 'Cha,1993-10-12,5z2cHsOmmmWcAPNG1oEhw0,Xscape
1dAF3TZnGrpEzEdOUyXG82,268040,My Little Secret,42,0.814,0.431,-9.125,0.0936,0.371,0.0,0.335,0.542,129.957,1RnxWZniUGHEAlpfbCphiL,Traces Of My Lipstick,1998-05-01,5z2cHsOmmmWcAPNG1oEhw0,Xscape
7eLXeSNdNqnnWswqmgLsa7,256720,Softest Place On Earth,41,0.773,0.309,-8.5,0.0339,0.415,0.00014,0.111,0.42,128.105,1RnxWZniUGHEAlpfbCphiL,Traces Of My Lipstick,1998-05-01,5z2cHsOmmmWcAPNG1oEhw0,Xscape
4yKbbM56fLCxwR5CTH6QkP,341466,Understanding,50,0.7,0.465,-10.43,0.0562,0.36,0.000157,0.143,0.306,137.823,6JtogZdgh6aCgfMjCi40FN,Hummin' Comin' At 'Cha,1993-10-12,5z2cHsOmmmWcAPNG1oEhw0,Xscape
2PwU1lOWkKmlmijBWywSXh,211960,Just Kickin' It - Remix,47,0.706,0.443,-13.504,0.0983,0.053,0.000111,0.114,0.741,80.891,6JtogZdgh6aCgfMjCi40FN,Hummin' Comin' At 'Cha,1993-10-12,5z2cHsOmmmWcAPNG1oEhw0,Xscape
4uNVz33v94oQxSqh1KInpK,341773,Do You Want To,29,0.778,0.501,-7.671,0.0347,0.0679,1.82e-06,0.106,0.403,119.556,5exCd91MEuqXuNwzG8nHMC,Off The Hook,1995-07-13,5z2cHsOmmmWcAPNG1oEhw0,Xscape
6vN3QVLdfFEE1VLlEou2QY,212040,Feels So Good,31,0.712,0.454,-9.029,0.0478,0.0162,1.23e-06,0.111,0.659,82.619,5exCd91MEuqXuNwzG8nHMC,Off The Hook,1995-07-13,5z2cHsOmmmWcAPNG1oEhw0,Xscape
229DjITIGSCTH3JRehpRC2,342680,Am I Dreamin',28,0.664,0.401,-7.84,0.0339,0.073,0.000234,0.28,0.0947,123.91,1RnxWZniUGHEAlpfbCphiL,Traces Of My Lipstick,1998-05-01,5z2cHsOmmmWcAPNG1oEhw0,Xscape
240QgnTcZI8VjsV4Lo6M9v,244066,Tonight,41,0.341,0.2,-11.941,0.0336,0.196,7.12e-06,0.0913,0.146,125.243,6JtogZdgh6aCgfMjCi40FN,Hummin' Comin' At 'Cha,1993-10-12,5z2cHsOmmmWcAPNG1oEhw0,Xscape
2umv02UHVYU4YRkZBlxdeP,313653,Midas Touch,46,0.886,0.77,-6.254,0.0555,0.122,0.0113,0.0372,0.802,116.837,73KzDwH8iJ9QiFyRN9LK8r,The Best of Midnight Star,2014-08-11,0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star
4WMau5HXA0kKeHJMtLRxSG,311053,Wet My Whistle,33,0.82,0.822,-5.335,0.0365,0.0904,3.59e-05,0.0524,0.935,113.838,73KzDwH8iJ9QiFyRN9LK8r,The Best of Midnight Star,2014-08-11,0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star
16AyV7c9vYcIU6f1LwunlW,233973,Midas Touch,33,0.962,0.552,-9.42,0.0703,0.133,0.0188,0.0833,0.933,117.332,0Da2ph3x1nEmwARZ29px69,The 80s,2019-01-18,0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star
7x776Xq6gsCqMU8bbroouC,302226,Curious,38,0.796,0.645,-5.328,0.0572,0.0667,0.000344,0.325,0.477,100.74,73KzDwH8iJ9QiFyRN9LK8r,The Best of Midnight Star,2014-08-11,0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star
33XODDWfvan1YAmlCSNKrB,302720,Midas Touch,36,0.857,0.825,-4.962,0.0535,0.168,0.00165,0.0337,0.884,117.007,5UxUyC5p1ozzHi34sW8rSA,Headlines,1986-04-14,0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star
3Y17zNqlx4HLcHoJ929C2Q,284266,Night Rider,18,0.846,0.759,-4.699,0.0358,0.0948,1.09e-05,0.052,0.986,119.699,1m8g0clasFl70fCm3MFBZM,No Parking On the Dance Floor,1983-06-06,0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star
39S742Ve3ySSRagMz8MzPC,465080,Operator,29,0.853,0.898,-4.999,0.0511,0.116,0.00055,0.0778,0.739,119.933,73KzDwH8iJ9QiFyRN9LK8r,The Best of Midnight Star,2014-08-11,0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star
1w2IWXk9PgjPXvhg2rJ0ym,334133,Love Song,17,0.658,0.502,-9.99,0.0334,0.121,0.0,0.206,0.606,155.197,2Y4ikgCdCgno0f2ypYG8ur,Midnight Star (Expanded Version),1988-01-01,0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star
0fF4ejyjuyaivKZZcusSpA,239813,Freak-A-Zoid,26,0.789,0.909,-6.233,0.0647,0.0473,0.0153,0.0701,0.879,121.154,73KzDwH8iJ9QiFyRN9LK8r,The Best of Midnight Star,2014-08-11,0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star
1Mw2H2RDXUYbRxeijjIGkL,269266,No Parking (On the Dancefloor),20,0.92,0.879,-5.007,0.0677,0.108,0.000573,0.14,0.97,124.924,1m8g0clasFl70fCm3MFBZM,No Parking On the Dance Floor,1983-06-06,0KMLfCXYb3Dhf1hLpu8cVd,Midnight Star
6UfHlVhD8D69eChBNT3xb4,137800,Don't Talk To Me,19,0.483,0.848,-1.889,0.0399,0.0121,0.0,0.205,0.764,140.593,7ciOUgMCLd0UYkaDkqZcER,Royal And Ancient,2011-08-08,2kMKMMldnEs9Y3ghCX3WrO,The Masonics
0sG8gRuLz0l1mh4du45ZqA,142173,Ooh-Poo-Pa-Doo,9,0.381,0.981,-2.555,0.113,0.0101,0.0,0.151,0.532,138.67,41dwpnw9JTWVWNBESKE6TS,Sympathetic Sounds of London - Recorded at Toe Rag Studios,2012-02-14,2kMKMMldnEs9Y3ghCX3WrO,The Masonics
7k72u3FEmoJr2IJ1YV0Fzf,137906,Chicken Bomb,8,0.5,0.967,-3.433,0.0377,0.111,0.0207,0.158,0.927,119.549,7ciOUgMCLd0UYkaDkqZcER,Royal And Ancient,2011-08-08,2kMKMMldnEs9Y3ghCX3WrO,The Masonics
21zZp2ZbMP8SXt2XRqCtJI,182986,Good or Bad,5,0.386,0.812,-4.522,0.0436,0.104,0.0184,0.253,0.565,95.265,2afCQZBHWlSAF5Zc1ekjeP,Silently by Night,1998,2kMKMMldnEs9Y3ghCX3WrO,The Masonics
3rsCTdygB4M8BbrqvN8sBR,199773,Silently by Night,4,0.481,0.955,-3.64,0.0349,0.563,0.036,0.321,0.664,91.78,2afCQZBHWlSAF5Zc1ekjeP,Silently by Night,1998,2kMKMMldnEs9Y3ghCX3WrO,The Masonics
7Ah4mEb74dkcWY2wnMJvjk,148120,The Runaway Goblin - Inst,1,0.481,0.947,-6.662,0.0362,0.0479,0.867,0.107,0.614,160.685,7aWZ96ffoby96bqXJ5LNve,Outside Looking In,2009-08-10,2kMKMMldnEs9Y3ghCX3WrO,The Masonics
2UeaxaLHAA4FDHfeTT8k70,163400,This is the Time,1,0.373,0.565,-6.112,0.0295,0.602,0.168,0.106,0.492,93.547,7aWZ96ffoby96bqXJ5LNve,Outside Looking In,2009-08-10,2kMKMMldnEs9Y3ghCX3WrO,The Masonics
1XSI6ewNVsFFM5LwAivdJ3,184120,The Mighty Ship,2,0.316,0.955,-1.726,0.0794,0.13,0.000439,0.129,0.372,97.53,2NqC8O2NJD84gxuy7C91CU,Outside Looking In (Remastered),2023-03-31,2kMKMMldnEs9Y3ghCX3WrO,The Masonics
1mXX4m2QpusmAy9rNhRXFf,163720,Somebody Stole the Heat from My Fire,1,0.622,0.899,-4.501,0.0444,0.39,6.42e-06,0.188,0.964,135.195,7aWZ96ffoby96bqXJ5LNve,Outside Looking In,2009-08-10,2kMKMMldnEs9Y3ghCX3WrO,The Masonics
04MBIF9rCYFO9HUqyJPNrS,136826,Messed Up,0,0.575,0.879,-3.693,0.0874,0.338,0.00403,0.13,0.852,146.752,7aWZ96ffoby96bqXJ5LNve,Outside Looking In,2009-08-10,2kMKMMldnEs9Y3ghCX3WrO,The Masonics
4nC9Fdb6pXCrII6FWzkPeo,146386,You Gonna Get It,30,0.341,0.978,2.231,0.0754,0.00303,0.909,0.0668,0.0416,121.07,7lrI1a8tcWWy5jbkxO79F8,Bangers vs. Fuckers (Remastered),2015-04-18,1ubsCjea2yzGyHQEPol3Y5,Coachwhips
1qGLNaz26lHzeZ0j5BipIk,76426,I Drank What?,28,0.254,0.958,0.63,0.106,0.000941,0.935,0.566,0.396,124.58,7lrI1a8tcWWy5jbkxO79F8,Bangers vs. Fuckers (Remastered),2015-04-18,1ubsCjea2yzGyHQEPol3Y5,Coachwhips
0GHaJkQKFviXIA8W6O4Ukh,78480,"I Knew Her, She Knew Me",27,0.137,0.994,1.726,0.0895,0.063,0.79,0.277,0.0967,179.656,7lrI1a8tcWWy5jbkxO79F8,Bangers vs. Fuckers (Remastered),2015-04-18,1ubsCjea2yzGyHQEPol3Y5,Coachwhips
1zc2bkznkTg4UV8QALyiyd,105906,"I Put It in, Way Down South",23,0.276,0.98,-5.123,0.0415,0.00627,0.61,0.0915,0.632,162.722,2yIm0SBY2xlD5Fjt0mzr8X,Get Yer Body Next ta Mine (Remastered),2003-02-11,1ubsCjea2yzGyHQEPol3Y5,Coachwhips
7xrpqGoI6IADAmVYoeSBDe,117573,Extinguish Me,23,0.422,0.99,1.211,0.0626,0.00654,0.947,0.262,0.657,115.327,7lrI1a8tcWWy5jbkxO79F8,Bangers vs. Fuckers (Remastered),2015-04-18,1ubsCjea2yzGyHQEPol3Y5,Coachwhips
1Gsf4rUcC7RJZp6N1UPyAH,131240,1000 Years,21,0.125,0.96,-4.223,0.102,0.0705,0.779,0.106,0.529,171.368,2yIm0SBY2xlD5Fjt0mzr8X,Get Yer Body Next ta Mine (Remastered),2003-02-11,1ubsCjea2yzGyHQEPol3Y5,Coachwhips
5kAX72aFGwjrHFUmUMaTOK,95466,Purse Peeking,20,0.362,0.995,1.304,0.0548,0.00716,0.974,0.279,0.258,90.913,7lrI1a8tcWWy5jbkxO79F8,Bangers vs. Fuckers (Remastered),2015-04-18,1ubsCjea2yzGyHQEPol3Y5,Coachwhips
200ObzJfUgoQ0JHv7ssTpv,75600,Tonight's the Night,20,0.179,0.996,-3.383,0.158,0.000292,0.753,0.157,0.0666,196.208,2yIm0SBY2xlD5Fjt0mzr8X,Get Yer Body Next ta Mine (Remastered),2003-02-11,1ubsCjea2yzGyHQEPol3Y5,Coachwhips
0Vo1Zn8cW3Nik1XeEtB2zS,122413,"Dancefloor, Bathroom",18,0.298,0.991,1.336,0.11,0.00129,0.943,0.231,0.0356,92.589,7lrI1a8tcWWy5jbkxO79F8,Bangers vs. Fuckers (Remastered),2015-04-18,1ubsCjea2yzGyHQEPol3Y5,Coachwhips
5H8okmcbOQ0RmsleNjEQD1,98440,Evil Son,17,0.185,0.995,2.162,0.103,0.0951,0.897,0.0943,0.0263,108.964,7lrI1a8tcWWy5jbkxO79F8,Bangers vs. Fuckers (Remastered),2015-04-18,1ubsCjea2yzGyHQEPol3Y5,Coachwhips
04VArZKHm1xesMxqnsutDY,303706,I'm Dreamin',52,0.787,0.743,-9.34,0.0581,0.248,7.07e-06,0.242,0.692,110.137,3N1GCkG6Z5Rs4Qy1iwnIEB,New Jack City (Music from the Motion Picture),1991-03-05,27TmRLInIAVyWyU14KlALf,Christopher Williams
0TEPE1KMWY0satuZIBtuRt,260666,All I See,44,0.648,0.727,-9.648,0.0404,0.0231,0.000648,0.0673,0.719,144.004,0POYPvGgqNdWX1G3BQBncS,Changes,1992-01-01,27TmRLInIAVyWyU14KlALf,Christopher Williams
1Z5eN1KGhK24kfB01tEbc0,281293,Dreamin',41,0.78,0.79,-8.861,0.058,0.194,0.0,0.224,0.776,110.03,0POYPvGgqNdWX1G3BQBncS,Changes,1992-01-01,27TmRLInIAVyWyU14KlALf,Christopher Williams
6g9wUkxTf1MkfURIFHNTSK,285866,Every Little Thing U Do,40,0.666,0.639,-8.014,0.05,0.0606,0.00269,0.0645,0.427,98.196,0POYPvGgqNdWX1G3BQBncS,Changes,1992-01-01,27TmRLInIAVyWyU14KlALf,Christopher Williams
2EjnH55mnsEjYMoZ9Q6rSe,320026,"Promises, Promises",37,0.632,0.655,-10.853,0.0657,0.297,0.0,0.103,0.535,154.004,4dLgkv57BXdrsFVTDY7eOl,Adventures In Paradise,1989-01-01,27TmRLInIAVyWyU14KlALf,Christopher Williams
3ao7aMMJq2xJWLlF70uKp7,416026,Don't U Wanna Make Love,31,0.673,0.368,-11.398,0.0414,0.24,0.00133,0.0811,0.409,74.938,0POYPvGgqNdWX1G3BQBncS,Changes,1992-01-01,27TmRLInIAVyWyU14KlALf,Christopher Williams
0YbEkg7r88vFgtQYGapiG2,350666,Next Stop Uptown - Studio Version,27,0.818,0.82,-8.216,0.196,0.0931,0.0,0.95,0.614,105.779,0CQcwTXgmXtXpMcORejZSM,Uptown MTV Unplugged,1993-01-01,27TmRLInIAVyWyU14KlALf,Christopher Williams
7Ggb1oLQiXOtPccX4k3Kx0,291506,Good Luvin',26,0.616,0.756,-7.663,0.0451,0.0258,5.95e-06,0.123,0.798,157.784,0POYPvGgqNdWX1G3BQBncS,Changes,1992-01-01,27TmRLInIAVyWyU14KlALf,Christopher Williams
3DI15GZXIxqaciEQzR4tEp,310106,Dance 4 Me,25,0.582,0.642,-8.468,0.0689,0.169,0.00571,0.118,0.523,164.962,2VmkL4MdJzFUeqegb7QLJa,Not A Perfect Man,1995-02-17,27TmRLInIAVyWyU14KlALf,Christopher Williams
50NQ0c3FP89oxML7TNfyuY,300960,Come Go With Me,24,0.615,0.639,-8.366,0.0488,0.541,0.0,0.0389,0.661,82.967,0POYPvGgqNdWX1G3BQBncS,Changes,1992-01-01,27TmRLInIAVyWyU14KlALf,Christopher Williams
0l0WkzEZEC7bP6AWnX2Bum,163320,Funky Again,45,0.567,0.937,-6.994,0.0405,0.0815,7.57e-06,0.236,0.96,140.522,2lOa6F7CYZPyfGikojxb23,Respect All Lifeforms,2020-05-22,09NEIWHdaWneBWsjYdDnwz,Custard
6zzj3DgwF0qL31dTwVOt3n,142400,Pinball Lez,42,0.558,0.742,-7.702,0.0319,0.002,1.15e-06,0.105,0.803,165.047,43jFFxDYerpVIXRz3PATON,We Have The Technology,1997-09-27,09NEIWHdaWneBWsjYdDnwz,Custard
2WheuVAKcZsQOZREbYtMvm,143560,Apartment,39,0.454,0.93,-5.986,0.0472,8.65e-05,0.054,0.0843,0.932,169.648,0PxOcepqmZ3LTzl0PNx8GL,Wisenheimer,1995-09-27,09NEIWHdaWneBWsjYdDnwz,Custard
6jrQpctf9Fg3btO1I7qX7X,190826,Girls Like That (Don't Go for Guys Like Us),39,0.672,0.718,-7.315,0.0434,0.451,0.000883,0.107,0.907,118.083,6d56WimrCEkbHu2x0WM196,Loverama,1999-10-11,09NEIWHdaWneBWsjYdDnwz,Custard
5zPsPKii0ajraN03d4UiAU,204666,Video Killed The Radio Star,36,0.71,0.66,-8.759,0.179,0.045,0.00235,0.0965,0.399,134.64,0Ipv7Jw7RJVmwbxpvk2Kos,Leisuremaster,1996-11-11,09NEIWHdaWneBWsjYdDnwz,Custard
2Q6hEaDXzqB49Zhk8oCWT1,169533,Ringo (I Feel Like),32,0.597,0.888,-5.064,0.0759,0.0223,2.69e-06,0.664,0.617,126.115,6d56WimrCEkbHu2x0WM196,Loverama,1999-10-11,09NEIWHdaWneBWsjYdDnwz,Custard
5ISdF6s5tsNkPEi0iINSib,187533,Music Is Crap,32,0.615,0.769,-6.898,0.0344,0.0244,0.00205,0.109,0.71,129.253,43jFFxDYerpVIXRz3PATON,We Have The Technology,1997-09-27,09NEIWHdaWneBWsjYdDnwz,Custard
3dk9yC7HFN9xosS0JVPH4o,163106,Anatomically Correct,29,0.715,0.739,-6.94,0.0256,0.019,0.0119,0.0881,0.843,125.94,43jFFxDYerpVIXRz3PATON,We Have The Technology,1997-09-27,09NEIWHdaWneBWsjYdDnwz,Custard
7fO4qfWXT8fXKcIMUZdBZ7,214026,Couple's Fight,28,0.437,0.872,-6.829,0.202,0.0909,0.0,0.443,0.558,179.361,2lOa6F7CYZPyfGikojxb23,Respect All Lifeforms,2020-05-22,09NEIWHdaWneBWsjYdDnwz,Custard
0tQH3MG2CoZ6RmYqlKAwab,134733,Pack Yr Suitcases,27,0.517,0.704,-10.212,0.0325,0.00445,0.0864,0.303,0.884,166.661,0aZX3rCGXMJcAT9LnbDRQN,Wahooti Fandango,1994-10-11,09NEIWHdaWneBWsjYdDnwz,Custard
362zcsyXMLbL7PNLhOovvm,283626,Computer Love,58,0.679,0.709,-5.851,0.133,0.676,0.0,0.292,0.673,84.543,3C9IDn2KBTZKRQ3Ldmm2Vr,The New Zapp IV U,1985-01-01,396Kh0m4wGUvcMUULw71yi,Zapp
5dTKcAJ21QNNdrWfqlptt4,249866,I Want to Be Your Man,38,0.557,0.607,-9.316,0.0551,0.0376,0.0,0.0635,0.457,81.648,7vTsZlruZl55lZcxTrWtBr,More Bounce to the Ounce,2018-04-27,396Kh0m4wGUvcMUULw71yi,Zapp
1LiwqqaafXkNQuWGW3HeId,311120,More Bounce to the Ounce,57,0.85,0.818,-8.623,0.0904,0.124,0.00135,0.349,0.839,105.266,1y7wSbPgFFeLxbpf5v5CIY,Zapp,1980-01-01,396Kh0m4wGUvcMUULw71yi,Zapp
2mx0O7IniovyDS8Wi0B3Sq,225093,Doo Wa Ditty (Blow That Thing),56,0.827,0.676,-11.159,0.0628,0.472,0.049,0.426,0.92,113.606,3aUZ0iLjcePsDggYsZAGBZ,All the Greatest Hits,1993-09-28,396Kh0m4wGUvcMUULw71yi,Zapp
3k0Jp5IYHtBeSNKUEOqE0i,215840,"So Ruff, so Tuff",54,0.883,0.667,-12.143,0.0601,0.271,0.000856,0.115,0.91,111.402,3aUZ0iLjcePsDggYsZAGBZ,All the Greatest Hits,1993-09-28,396Kh0m4wGUvcMUULw71yi,Zapp
29NVSIdQtqIRzZAgBG1v31,163666,Be Alright,53,0.743,0.58,-11.081,0.0779,0.114,0.0,0.17,0.81,82.429,3aUZ0iLjcePsDggYsZAGBZ,All the Greatest Hits,1993-09-28,396Kh0m4wGUvcMUULw71yi,Zapp
5r5s1o2BFnuO1zJhhBCZP9,239333,I Can Make You Dance,47,0.892,0.681,-11.503,0.1,0.0603,0.0,0.289,0.763,113.726,3aUZ0iLjcePsDggYsZAGBZ,All the Greatest Hits,1993-09-28,396Kh0m4wGUvcMUULw71yi,Zapp
6d4XP98nTswxMycT6fdZNN,642853,Dance Floor,46,0.868,0.802,-7.831,0.053,0.151,0.0032,0.0667,0.905,110.536,7ew8Rwv8ICZUhLPteXPcbk,Zapp II,1982-07-14,396Kh0m4wGUvcMUULw71yi,Zapp
5HGz5SwHOkfzZhG5ZGvPGS,314973,Slow and Easy,24,0.759,0.674,-7.773,0.0668,0.0747,0.0,0.154,0.798,140.815,6mCYq53QgMR1ProP0NMZSp,All The Greatest Hits,1993,396Kh0m4wGUvcMUULw71yi,Zapp
3PZpMF3RebeBEkQ6OicLpz,472973,Be Alright,45,0.64,0.886,-4.951,0.0632,0.104,4.88e-06,0.307,0.714,82.417,1y7wSbPgFFeLxbpf5v5CIY,Zapp,1980-01-01,396Kh0m4wGUvcMUULw71yi,Zapp
6cer3p2gE7QMgPPrPicykZ,80573,All I Want,48,0.248,0.97,-3.858,0.114,0.066,0.509,0.899,0.245,173.019,1Rptn36TSs8Ctz2RLqeu9M,VOL.V,2012-10-30,3nTp46BPWuUUhBV6GXQiY6,The Spits
38yw0I1R8qamGSXUpomcK9,100600,Don't Shoot,43,0.277,0.965,-1.902,0.0499,0.00122,0.535,0.251,0.464,188.291,5thmGErKXYtCfKpri3Jbpt,S/T,2003,3nTp46BPWuUUhBV6GXQiY6,The Spits
5GjA0Zw30djBxmBOsmuONG,131653,Bring,39,0.51,0.887,-3.367,0.0523,0.0208,0.232,0.0432,0.225,97.187,4IH4X1p5E6WjigQdS1Z5B6,The Spits,2002-10-15,3nTp46BPWuUUhBV6GXQiY6,The Spits
6l3nBR2TKwEVKRSdreWjHw,113880,Tonight,36,0.466,0.964,-1.097,0.123,0.0679,0.912,0.215,0.293,179.946,5HobOvQebcgj8i3i3Cvuf5,Vol. IV,2009-06-15,3nTp46BPWuUUhBV6GXQiY6,The Spits
1bVCDiOtVkcXc4pq58IPbv,68533,Rip Up The Streets,35,0.382,0.904,-3.421,0.0618,0.271,0.762,0.0943,0.251,113.701,5HobOvQebcgj8i3i3Cvuf5,Vol. IV,2009-06-15,3nTp46BPWuUUhBV6GXQiY6,The Spits
5R9FxV9Uh0zrgYTnI8OwrQ,95720,My Mess,33,0.333,0.988,-2.743,0.094,0.0391,0.617,0.173,0.189,104.119,1Rptn36TSs8Ctz2RLqeu9M,VOL.V,2012-10-30,3nTp46BPWuUUhBV6GXQiY6,The Spits
5Kn2ZIyMM8lSOg6J6iap3z,72000,Spit Me Out,31,0.315,0.879,-2.713,0.0425,0.0453,1.84e-06,0.274,0.424,97.984,4IH4X1p5E6WjigQdS1Z5B6,The Spits,2002-10-15,3nTp46BPWuUUhBV6GXQiY6,The Spits
7uD9Nam4bGdN5sBIuhrZst,86733,Die Die Die,30,0.297,0.85,-7.288,0.0512,7.96e-05,0.024,0.168,0.964,178.744,7xB7SjnHyIncj81WaTclyO,The Spits,2000-04-01,3nTp46BPWuUUhBV6GXQiY6,The Spits
3RSRMVfkk9wtHdDvDfqeKc,95666,Life Of Crime,30,0.416,0.838,-5.916,0.0373,0.000208,0.367,0.183,0.81,91.794,5HobOvQebcgj8i3i3Cvuf5,Vol. IV,2009-06-15,3nTp46BPWuUUhBV6GXQiY6,The Spits
4jpXzwObZcpoKOtUNLdjO0,62146,Rip up the Streets,28,0.252,0.747,-5.313,0.0809,0.0962,6.34e-05,0.286,0.116,118.697,0YpzQUMnuGO00MLS7WVRap,Kill the Kool,2010-10-30,3nTp46BPWuUUhBV6GXQiY6,The Spits
2TQaMcc3BEAF5Srn7FCipl,288493,Always,64,0.606,0.532,-6.759,0.0256,0.403,0.000904,0.356,0.327,130.945,5gK0fkRx9h3OP8opU2sFpr,All In The Name Of Love,1987-03-24,2YdVmtVBpIrv0N6WiBzSqm,Atlantic Starr
4nKPgKXfFiPW7cNex5oDtt,330666,Secret Lovers,52,0.339,0.379,-15.08,0.0528,0.653,3.56e-06,0.219,0.429,74.142,2H6iH0eyDzvuk3FEihD1aJ,As The Band Turns,1986,2YdVmtVBpIrv0N6WiBzSqm,Atlantic Starr
2sm3HfTCt3O6R6qUc5f6xb,295346,Masterpiece,50,0.642,0.448,-10.417,0.0259,0.492,1.68e-05,0.0646,0.285,137.832,1bVsvHBbgNEe7jwdkhNNzV,Love Crazy,1991-10-25,2YdVmtVBpIrv0N6WiBzSqm,Atlantic Starr
4zufOBl1lgLkq4b1cOx6mu,329933,Send For Me,46,0.627,0.244,-16.546,0.0337,0.275,0.0,0.079,0.332,134.962,31j5ZI5u1bMPFwdWWe7g6D,The Best Of Atlantic Starr,1986-01-01,2YdVmtVBpIrv0N6WiBzSqm,Atlantic Starr
5z0xh2dQHhfSUaIyAx11b3,322146,Let's Get Closer,40,0.583,0.226,-17.544,0.0368,0.274,0.0,0.0561,0.152,74.869,3AJoIis4RlYd3pjbP3SIj4,Brilliance,1982-03-02,2YdVmtVBpIrv0N6WiBzSqm,Atlantic Starr
4bdZzjJ0Ro172562UDPgyu,330186,Am I Dreaming,37,0.668,0.374,-10.5,0.0313,0.501,1.6e-05,0.0911,0.212,123.912,1fpgFs808jg1snTYFGAZC2,Radiant,1980-01-01,2YdVmtVBpIrv0N6WiBzSqm,Atlantic Starr
2lFQ6W1WdRFtDJhvWGW3p6,261066,I'll Remember You,44,0.562,0.481,-8.753,0.034,0.583,1.1e-06,0.123,0.23,139.743,3dlQhSbEXPzDKCr3jPsT0Q,Time,1994-05-01,2YdVmtVBpIrv0N6WiBzSqm,Atlantic Starr
6Z3aCIzYqR5yz8apJuzLsb,263013,Secret Lovers - Single Version,39,0.574,0.593,-8.241,0.0346,0.772,1.34e-06,0.12,0.564,80.197,30zetsnd9mENuaA47D6wcr,Gold - '80s Soul,2006-01-01,2YdVmtVBpIrv0N6WiBzSqm,Atlantic Starr
